"Site","Year","Latitude","Longitude"
"CBOH _ 19 _ 2025",2025,"55.2011558359481","-162.72116162334"
"CBOH _ 20 _ 2025",2025,"55.2023140811249","-162.72201467274"
"CBOH _ 21 _ 2025",2025,"55.201302425952","-162.72141475671"
"CBOH _ 22 _ 2025",2025,"55.2020456314297","-162.72145498601"
"CBOH _ 23 _ 2025",2025,"55.202692538664","-162.72311218621"
"CBOH _ 24 _ 2025",2025,"55.2035561995712","-162.72143836644"
"CBOH _ 25 _ 2025",2025,"55.201153623716","-162.71680528576"
"CBOH _ 26 _ 2025",2025,"55.2032697168907","-162.72232645045"
"CBOH _ 27 _ 2025",2025,"55.2014362682041","-162.72135152658"
"CBOH _ 28 _ 2025",2025,"55.2032344555529","-162.72320679241"
"CBOH _ 29 _ 2025",2025,"55.2024675428639","-162.72266112483"
"CBOH _ 30 _ 2025",2025,"55.2029525777607","-162.72259927137"
"CBOH _ 31 _ 2025",2025,"55.2011849125277","-162.72192745982"
"CBOH _ 32 _ 2025",2025,"55.2027633488698","-162.72191375931"
"CBOH _ 33 _ 2025",2025,"55.2031310983296","-162.7219832947"
"CBOH _ 34 _ 2025",2025,"55.2006832141737","-162.71600765638"
"CBOH _ 35 _ 2025",2025,"55.2008897783617","-162.71638854456"
"CBOH _ 36 _ 2025",2025,"55.2030425305086","-162.72293121702"
"CBOH _ 37 _ 2025",2025,"55.201376612375","-162.72155579786"
"CBOH _ 38 _ 2025",2025,"55.2030836789712","-162.72305054127"
"CBOH _ 39 _ 2025",2025,"55.202868943024","-162.72306758332"
"CBOH _ 40 _ 2025",2025,"55.2006723103918","-162.71550358180"
"CBOD _ 1 _ 2025",2025,"55.2042962495923","-162.7090924915"
"CBOD _ 2 _ 2025",2025,"55.2044082825776","-162.70960985562"
"CBOD _ 3 _ 2025",2025,"55.1961616410316","-162.70031334113"
"CBOD _ 4 _ 2025",2025,"55.1960732617301","-162.70082345532"
"CBOD _ 5 _ 2025",2025,"55.2043100383586","-162.7099480556"
"CBOD _ 6 _ 2025",2025,"55.206875346866","-162.71337790879"
"CBOD _ 7 _ 2025",2025,"55.2044580799476","-162.70979286868"
"CBOD _ 8 _ 2025",2025,"55.2044494603323","-162.70944760848"
"CBOD _ 9 _ 2025",2025,"55.2045003726768","-162.70961059482"
"CBOD _ 10 _ 2025",2025,"55.2044214055042","-162.7095188433"
"CBOD _ 11 _ 2025",2025,"55.2069196066349","-162.71356370546"
