"Site","name","label","Year","pointname","infestationname","Count","geometry","dotcolor"
"CBCT_47_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_47","Cold Bay Creeping Thistle",2,"c(-162.714913758475"," 55.2051326845815)"
"CBCT_48_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_48","Cold Bay Creeping Thistle",0,"c(-162.598916991225"," 55.1473728791491)"
"CBCT_49_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_49","Cold Bay Creeping Thistle",0,"c(-162.713958359972"," 55.2058508330397)"
"CBCT_5_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_5","Cold Bay Creeping Thistle",0,"c(-162.714913019561"," 55.2062752859115)"
"CBCT_50_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_50","Cold Bay Creeping Thistle",0,"c(-162.716640823822"," 55.2070094108061)"
"CBCT_51_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_51","Cold Bay Creeping Thistle",0,"c(-162.718154519462"," 55.206643673006)"
"CBCT_52_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_52","Cold Bay Creeping Thistle",0,"c(-162.714076756162"," 55.2054660339863)"
"CBCT_53_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_53","Cold Bay Creeping Thistle",0,"c(-162.714099591145"," 55.2046154434295)"
"CBCT_54_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_54","Cold Bay Creeping Thistle",0,"c(-162.714215845752"," 55.2053592462246)"
"CBCT_55_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_55","Cold Bay Creeping Thistle",0,"c(-162.71445959325"," 55.2045491666849)"
"CBCT_56_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_56","Cold Bay Creeping Thistle",0,"c(-162.713805135634"," 55.2059115378689)"
"CBCT_57_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_57","Cold Bay Creeping Thistle",0,"c(-162.717800432248"," 55.2066848667669)"
"CBCT_58_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_58","Cold Bay Creeping Thistle",0,"c(-162.715291607415"," 55.2068148755142)"
"CBCT_59_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_59","Cold Bay Creeping Thistle",0,"c(-162.714437842067"," 55.205812792437)"
"CBCT_6_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_6","Cold Bay Creeping Thistle",0,"c(-162.715229863909"," 55.2063709315207)"
"CBCT_60_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_60","Cold Bay Creeping Thistle",0,"c(-162.714032484369"," 55.2051785444066)"
"CBCT_61_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_61","Cold Bay Creeping Thistle",0,"c(-162.714149861794"," 55.2049379130273)"
"CBCT_62_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_62","Cold Bay Creeping Thistle",0,"c(-162.716480137202"," 55.2069066704039)"
"CBCT_63_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_63","Cold Bay Creeping Thistle",0,"c(-162.715171822812"," 55.2061016835592)"
"CBCT_64_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_64","Cold Bay Creeping Thistle",0,"c(-162.717936161071"," 55.2067309215136)"
"CBCT_65_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_65","Cold Bay Creeping Thistle",0,"c(-162.71513760817"," 55.2051692655153)"
"CBCT_66_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_66","Cold Bay Creeping Thistle",0,"c(-162.715006780753"," 55.2063836127663)"
"CBCT_67_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_67","Cold Bay Creeping Thistle",1,"c(-162.714632609919"," 55.2052545007325)"
"CBCT_68_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_68","Cold Bay Creeping Thistle",0,"c(-162.716138074435"," 55.2064629004979)"
"CBCT_69_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_69","Cold Bay Creeping Thistle",0,"c(-162.713742927307"," 55.2065729246464)"
"CBCT_7_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_7","Cold Bay Creeping Thistle",0,"c(-162.713279149245"," 55.2064804403796)"
"CBCT_71_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_71","Cold Bay Creeping Thistle",0,"c(-162.715058913599"," 55.2046895873037)"
"CBCT_72_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_72","Cold Bay Creeping Thistle",0,"c(-162.714403348716"," 55.2045253886471)"
"CBCT_73_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_73","Cold Bay Creeping Thistle",0,"c(-162.718006967648"," 55.2068148913377)"
"CBCT_74_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_74","Cold Bay Creeping Thistle",3,"c(-162.713776231145"," 55.2059891682903)"
"CBCT_75_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_75","Cold Bay Creeping Thistle",1,"c(-162.714780495549"," 55.20646649044)"
"CBCT_76_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_76","Cold Bay Creeping Thistle",2,"c(-162.714674874698"," 55.205139557405)"
"CBCT_78_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_78","Cold Bay Creeping Thistle",1,"c(-162.714297308633"," 55.2067212031729)"
"CBCT_79_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_79","Cold Bay Creeping Thistle",2,"c(-162.713535682121"," 55.2064289747671)"
"CBCT_8_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_8","Cold Bay Creeping Thistle",1,"c(-162.714584583571"," 55.2044835714626)"
"CBCT_80_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_80","Cold Bay Creeping Thistle",0,"c(-162.715203176433"," 55.2062741267013)"
"CBCT_81_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_81","Cold Bay Creeping Thistle",0,"c(-162.714692735816"," 55.205971269706)"
"CBCT_82_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_82","Cold Bay Creeping Thistle",0,"c(-162.714639064377"," 55.2047159766653)"
"CBCT_83_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_83","Cold Bay Creeping Thistle",1,"c(-162.713869308147"," 55.2061654841458)"
