pointname,infestationname,Year,Count,geometry,dotcolor,Notes
CBCT 66,Cold Bay Creeping Thistle,2023,0,c(-162.715006780753, 55.2063836127663),black
CBCT 67,Cold Bay Creeping Thistle,2023,1,c(-162.714632609919, 55.2052545007325),#5FA777
CBCT 68,Cold Bay Creeping Thistle,2023,0,c(-162.716138074435, 55.2064629004979),black
CBCT 69,Cold Bay Creeping Thistle,2023,0,c(-162.713742927307, 55.2065729246464),#FD0E35
CBCT 7,Cold Bay Creeping Thistle,2023,0,c(-162.713279149245, 55.2064804403796),black
CBCT 70,Cold Bay Creeping Thistle,2023,NA,c(-162.715313405015, 55.2067794467276),gray
CBCT 71,Cold Bay Creeping Thistle,2023,0,c(-162.715058913599, 55.2046895873037),black
CBCT 72,Cold Bay Creeping Thistle,2023,0,c(-162.714403348716, 55.2045253886471),black
CBCT 73,Cold Bay Creeping Thistle,2023,0,c(-162.718006967648, 55.2068148913377),black
CBCT 74,Cold Bay Creeping Thistle,2023,3,c(-162.713776231145, 55.2059891682903),#5FA777
CBCT 75,Cold Bay Creeping Thistle,2023,1,c(-162.714780495549, 55.20646649044),#5FA777
CBCT 76,Cold Bay Creeping Thistle,2023,2,c(-162.714674874698, 55.205139557405),#FD0E35
CBCT 77,Cold Bay Creeping Thistle,2023,NA,c(-162.714337968693, 55.2050381797464),gray
CBCT 78,Cold Bay Creeping Thistle,2023,1,c(-162.714297308633, 55.2067212031729),#5FA777
CBCT 79,Cold Bay Creeping Thistle,2023,2.5,c(-162.713535682121, 55.2064289747671),#5FA777
CBCT 8,Cold Bay Creeping Thistle,2023,1,c(-162.714584583571, 55.2044835714626),#5FA777
CBCT 80,Cold Bay Creeping Thistle,2023,0,c(-162.715203176433, 55.2062741267013),black
CBCT 81,Cold Bay Creeping Thistle,2023,0,c(-162.714692735816, 55.205971269706),black
CBCT 82,Cold Bay Creeping Thistle,2023,0,c(-162.714639064377, 55.2047159766653),black
CBCT 83,Cold Bay Creeping Thistle,2023,1,c(-162.713869308147, 55.2061654841458),#FD0E35
CBCT 84,Cold Bay Creeping Thistle,2023,0,c(-162.714249402796, 55.2056521209468),black
CBCT 85,Cold Bay Creeping Thistle,2023,1,c(-162.714826278811, 55.2054398402938),black
CBCT 86,Cold Bay Creeping Thistle,2023,2,c(-162.71491609734, 55.2046232582964),#5FA777
CBCT 87,Cold Bay Creeping Thistle,2023,1,c(-162.714085345844, 55.2052809964364),#5FA777
CBCT 88,Cold Bay Creeping Thistle,2023,0,c(-162.714641425362, 55.2054223872829),black
CBCT 89,Cold Bay Creeping Thistle,2023,0,c(-162.714363436599, 55.2055834728552),black
CBCT 9,Cold Bay Creeping Thistle,2023,0,c(-162.713210899031, 55.206106402328),black
CBCT 90,Cold Bay Creeping Thistle,2023,0,c(-162.714870786907, 55.2046304091658),#FD0E35
CBCT 91,Cold Bay Creeping Thistle,2023,0,c(-162.713162490319, 55.2062836831436),gray
CBCT 92,Cold Bay Creeping Thistle,2023,2,c(-162.713349886194, 55.2063243248345),#5FA777
CBCT 93,Cold Bay Creeping Thistle,2023,0,c(-162.713195186757, 55.2065161574975),black
CBCT 94,Cold Bay Creeping Thistle,2023,1,c(-162.71411224788, 55.2059648578267),#5FA777
CBCT 95,Cold Bay Creeping Thistle,2023,NA,c(-162.714554370858, 55.2059692854278),gray
CBCT 96,Cold Bay Creeping Thistle,2023,0,c(-162.714697909755, 55.2048153762809),black
CBCT 97,Cold Bay Creeping Thistle,2023,NA,c(-162.714897470927, 55.2062806885113),gray
CBCT 98,Cold Bay Creeping Thistle,2023,0,c(-162.715085127127, 55.2049896289321),black
CBCT 99,Cold Bay Creeping Thistle,2023,0,c(-162.714228125356, 55.2065202146699),black
CBOD 1,Cold Bay Oxeye Daisy,2023,0,c(-162.700359876865, 55.1961838815559),black
CBOD 10,Cold Bay Oxeye Daisy,2023,0,c(-162.712949982415, 55.2066324324009),#FD0E35
CBOD 11,Cold Bay Oxeye Daisy,2023,5,c(-162.70059951129, 55.1961066863494),#FD0E35
CBOD 12,Cold Bay Oxeye Daisy,2023,0,c(-162.712951661898, 55.2066129977594),#FD0E35
CBOD 13,Cold Bay Oxeye Daisy,2023,0,c(-162.713252624158, 55.2070170785534),black
CBOD 14,Cold Bay Oxeye Daisy,2023,0,c(-162.713371313656, 55.2067919236673),black
CBOD 15,Cold Bay Oxeye Daisy,2023,0,c(-162.712941682791, 55.2068329262871),#FD0E35
CBOD 16,Cold Bay Oxeye Daisy,2023,0,c(-162.713522636294, 55.2066986682957),black
CBOD 17,Cold Bay Oxeye Daisy,2023,5,c(-162.709620594362, 55.2045290454266),#FD0E35
CBOD 18,Cold Bay Oxeye Daisy,2023,0,c(-162.713024483797, 55.2070494903752),black
CBOD 19,Cold Bay Oxeye Daisy,2023,0,c(-162.700710436367, 55.1960991750142),black
CBOD 2,Cold Bay Oxeye Daisy,2023,2,c(-162.71299354114, 55.2070362077083),gray
CBOD 20,Cold Bay Oxeye Daisy,2023,0,c(-162.713651012832, 55.2067361086282),black
CBOD 21,Cold Bay Oxeye Daisy,2023,0,c(-162.71325440545, 55.2068093622788),black
CBOD 22,Cold Bay Oxeye Daisy,2023,0,c(-162.712825028793, 55.2065848196399),black
CBOD 23,Cold Bay Oxeye Daisy,2023,3,c(-162.709151244718, 55.2044907097307),#5FA777
CBOD 24,Cold Bay Oxeye Daisy,2023,0,c(-162.700569963016, 55.1960476714557),black
CBOD 25,Cold Bay Oxeye Daisy,2023,1,c(-162.713468955374, 55.2069847530532),#5FA777
CBOD 26,Cold Bay Oxeye Daisy,2023,4,c(-162.712829035285, 55.2067888556865),black
CBOD 27,Cold Bay Oxeye Daisy,2023,0,c(-162.713086120559, 55.2069573768001),black
CBOD 28,Cold Bay Oxeye Daisy,2023,0,c(-162.709805333579, 55.2045079977108),#FD0E35
CBOD 29,Cold Bay Oxeye Daisy,2023,0,c(-162.713152111249, 55.2067496096144),#FD0E35
CBOD 3,Cold Bay Oxeye Daisy,2023,9,c(-162.71, 55.2),black
CBOD 30,Cold Bay Oxeye Daisy,2023,2,c(-162.713072526602, 55.2068629269071),#5FA777
CBOD 31,Cold Bay Oxeye Daisy,2023,0,c(-162.797220944539, 55.1675050994597),black
CBOD 32,Cold Bay Oxeye Daisy,2023,9,c(-162.709519029727, 55.2044691638682),black
CBOD 33,Cold Bay Oxeye Daisy,2023,2,c(-162.713265985717, 55.2069640668246),#5FA777
CBOD 34,Cold Bay Oxeye Daisy,2023,9,c(-162.709552, 55.20455),#5FA777
CBOD 35,Cold Bay Oxeye Daisy,2023,9,c(-162.47428, 55.21),#5FA777
CBOD 36,Cold Bay Oxeye Daisy,2023,9,c(-162.7, 55.2),#5FA777
CBOD 37,Cold Bay Oxeye Daisy,2023,9,c(-162.709379, 55.204312),#5FA777
CBOD 38,Cold Bay Oxeye Daisy,2023,9,c(-162.71, 55.2),black
CBOD 39,Cold Bay Oxeye Daisy,2023,9,c(-162.71, 55.2),#5FA777
CBOD 4,Cold Bay Oxeye Daisy,2023,3,c(-162.713101369804, 55.2068482172714),#5FA777
CBOD 40,Cold Bay Oxeye Daisy,2023,9,c(-162.71, 55.21),#5FA777
CBOD 5,Cold Bay Oxeye Daisy,2023,0,c(-162.797201973746, 55.1675109354246),black
CBOD 6,Cold Bay Oxeye Daisy,2023,9,c(-162.709708639556, 55.2045329804517),black
CBOD 7,Cold Bay Oxeye Daisy,2023,0,c(-162.71297255093, 55.2065827039135),black
CBOD 8,Cold Bay Oxeye Daisy,2023,0,c(-162.700649860475, 55.196086121484),black
CBOD 9,Cold Bay Oxeye Daisy,2023,0,c(-162.713212991639, 55.2067070054571),#FD0E35
CBOH 1,Cold Bay Orange Hawkweed,2023,0,c(-162.720865286599, 55.2032229033672),gray
CBOH 10,Cold Bay Orange Hawkweed,2023,0,c(-162.721348090405, 55.2035213979281),gray
CBOH 100,Cold Bay Orange Hawkweed,2023,0,c(-162.7231449583, 55.2029668951612),gray
